Name,Games Played,Minutes Played,Points Per Game,Field Goals Made,Field Goals Attempts,Field Goal %,3 Points Made,3 Points Attempts,3 Points %,Free Throws Made,Free Throws Attempts,Free Throws %,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,TARGET_5Yrs
Malik Sealy,58.0,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1.9,0.8,0.6,0.1,1.0,1
Elmore Spencer,44.0,6.4,2.4,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.2,0.4,0.6,1
John Crotty,40.0,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1.0,68.4,0.1,0.3,0.4,1.4,0.3,0.0,0.8,1
Stacey Augmon,82.0,30.5,13.3,5.4,11.0,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,1
Larry Stewart,76.0,29.3,10.4,4.0,7.8,51.4,0.0,0.0,0.0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,1
Doug Smith,76.0,22.5,8.8,3.8,9.2,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,1
Donald Hodge,51.0,20.7,8.4,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,1
Terrell Brandon,82.0,19.6,7.4,3.1,7.3,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2.0,3.9,1.0,0.3,1.7,1
Bison Dele,48.0,18.9,9.1,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,1
Tracy Moore,42.0,18.6,8.5,3.1,7.7,40.0,0.7,2.0,35.7,1.5,1.9,83.3,0.7,1.2,2.0,1.1,0.8,0.1,1.1,1
Greg Anthony,82.0,18.4,5.5,2.0,5.3,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,1
Victor Alexander,80.0,16.9,7.4,3.0,5.7,52.9,0.0,0.0,0.0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,1
David Benoit,77.0,15.1,5.6,2.3,4.9,46.7,0.0,0.2,21.4,1.1,1.3,81.0,1.4,2.5,3.8,0.4,0.3,0.6,0.9,1
Chris Gatling,54.0,11.3,5.7,2.2,3.8,56.8,0.0,0.1,0.0,1.3,2.0,66.1,1.4,2.0,3.4,0.3,0.6,0.7,0.8,1
Eric Murdock,50.0,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1.0,1
Elliot Perry,50.0,8.7,2.5,1.0,2.6,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1.0,1
Marty Conlon,45.0,8.5,2.7,1.1,2.2,47.5,0.0,0.0,0.0,0.5,0.7,75.0,0.7,0.8,1.5,0.3,0.2,0.2,0.6,1
Willie Burton,76.0,25.4,12.0,4.5,10.2,44.1,0.1,0.4,13.3,3.0,3.9,78.2,1.5,2.0,3.4,1.4,0.9,0.3,1.9,1
Dee Brown,49.0,9.2,1.9,0.7,2.0,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,1
Kendall Gill,82.0,23.7,11.0,4.6,10.2,45.0,0.0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,3.7,1.3,0.5,2.0,1
Danny Ferry,81.0,20.5,8.6,3.4,7.9,42.8,0.3,1.0,29.9,1.5,1.9,81.6,1.2,2.3,3.5,1.8,0.5,0.3,1.5,1
Mario Elie,33.0,19.5,7.2,2.4,4.8,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,1
Bimbo Coles,82.0,16.5,4.9,2.0,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1
